,Context,Question,Answer
30,فلا أقسم بما تبصرون. وما لا تبصرون. إنه لقول رسول كريم. وما هو بقول شاعر قليلا ما تؤمنون. ولا بقول كاهن قليلا ما تذكرون. تنزيل من رب العالمين. ولو تقول علينا بعض الأقاويل. لأخذنا منه باليمين. ثم لقطعنا منه الوتين. فما منكم من أحد عنه حاجزين. وإنه لتذكرة للمتقين. وإنا لنعلم أن منكم مكذبين. وإنه لحسرة على الكافرين. وإنه لحق اليقين. فسبح باسم ربك العظيم.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,قرآنا تأليف سيد محمد
31,ليس عليك هداهم ولكن الله يهدي من يشاء وما تنفقوا من خير فلأنفسكم وما تنفقون إلا ابتغاء وجه الله وما تنفقوا من خير يوف إليكم وأنتم لا تظلمون. للفقراء الذين أحصروا في سبيل الله لا يستطيعون ضربا في الأرض يحسبهم الجاهل أغنياء من التعفف تعرفهم بسيماهم لا يسألون الناس إلحافا وما تنفقوا من خير فإن الله به عليم. الذين ينفقون أموالهم بالليل والنهار سرا وعلانية فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون.,على من تجوز الصدقة؟,ليس عليك هداهم ولكن الله يهدي من يشاء وما تنف
32,أفأنت تسمع الصم أو تهدي العمي ومن كان في ضلال مبين. فإما نذهبن بك فإنا منهم منتقمون. أو نرينك الذي وعدناهم فإنا عليهم مقتدرون. فاستمسك بالذي أوحي إليك إنك على صراط مستقيم. وإنه لذكر لك ولقومك وسوف تسألون. واسأل من أرسلنا من قبلك من رسلنا أجعلنا من دون الرحمن آلهة يعبدون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,لقد استهزئ برسل من قبلك من رسلنا أجعلنا من دون الرح
33,أفغير الله أبتغي حكما وهو الذي أنزل إليكم الكتاب مفصلا والذين آتيناهم الكتاب يعلمون أنه منزل من ربك بالحق فلا تكونن من الممترين. وتمت كلمت ربك صدقا وعدلا لا مبدل لكلماته وهو السميع العليم. وإن تطع أكثر من في الأرض يضلوك عن سبيل الله إن يتبعون إلا الظن وإن هم إلا يخرصون. إن ربك هو أعلم من يضل عن سبيله وهو أعلم بالمهتدين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,الذين آتيناهم الكتاب يعلمون أنه منزل من ربك بالحق
34,تبارك الذي نزل الفرقان على عبده ليكون للعالمين نذيرا. الذي له ملك السماوات والأرض ولم يتخذ ولدا ولم يكن له شريك في الملك وخلق كل شيء فقدره تقديرا. واتخذوا من دونه آلهة لا يخلقون شيئا وهم يخلقون ولا يملكون لأنفسهم ضرا ولا نفعا ولا يملكون موتا ولا حياة ولا نشورا. وقال الذين كفروا إن هذا إلا إفك افتراه وأعانه عليه قوم آخرون فقد جاءوا ظلما وزورا. وقالوا أساطير الأولين اكتتبها فهي تملى عليه بكرة وأصيلا. قل أنزله الذي يعلم السر في السماوات والأرض إنه كان غفورا رحيما.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,الذي له ملك السماوات والأرض
35,ومن قوم موسى أمة يهدون بالحق وبه يعدلون. وقطعناهم اثنتي عشرة أسباطا أمما وأوحينا إلى موسى إذ استسقاه قومه أن اضرب بعصاك الحجر فانبجست منه اثنتا عشرة عينا قد علم كل أناس مشربهم وظللنا عليهم الغمام وأنزلنا عليهم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا أنفسهم يظلمون. وإذ قيل لهم اسكنوا هذه القرية وكلوا منها حيث شئتم وقولوا حطة وادخلوا الباب سجدا نغفر لكم خطيئاتكم سنزيد المحسنين. فبدل الذين ظلموا منهم قولا غير الذي قيل لهم فأرسلنا عليهم رجزا من السماء بما كانوا يظلمون.,من هم الاسباط؟,قومه
36,وإنه لتنزيل رب العالمين. نزل به الروح الأمين. على قلبك لتكون من المنذرين. بلسان عربي مبين. وإنه لفي زبر الأولين. أولم يكن لهم آية أن يعلمه علماء بني إسرائيل. ولو نزلناه على بعض الأعجمين. فقرأه عليهم ما كانوا به مؤمنين. كذلك سلكناه في قلوب المجرمين. لا يؤمنون به حتى يروا العذاب الأليم. فيأتيهم بغتة وهم لا يشعرون. فيقولوا هل نحن منظرون. أفبعذابنا يستعجلون. أفرأيت إن متعناهم سنين. ثم جاءهم ما كانوا يوعدون. ما أغنى عنهم ما كانوا يمتعون. وما أهلكنا من قرية إلا لها منذرون. ذكرى وما كنا ظالمين. وما تنزلت به الشياطين. وما ينبغي لهم وما يستطيعون. إنهم عن السمع لمعزولون.,من هم الملائكة المذكورون في القرآن؟,بني إسرائيل
37,ألم نجعل الأرض مهادا. والجبال أوتادا. وخلقناكم أزواجا. وجعلنا نومكم سباتا. وجعلنا الليل لباسا. وجعلنا النهار معاشا. وبنينا فوقكم سبعا شدادا. وجعلنا سراجا وهاجا. وأنزلنا من المعصرات ماء ثجاجا. لنخرج به حبا ونباتا. وجنات ألفافا.,هل ذكر القرآن أوقات نوم معيّنة؟,جعلنا الليل لباسا. وجعلنا النهار معاشا. وبني
38,إن شر الدواب عند الله الذين كفروا فهم لا يؤمنون. الذين عاهدت منهم ثم ينقضون عهدهم في كل مرة وهم لا يتقون. فإما تثقفنهم في الحرب فشرد بهم من خلفهم لعلهم يذكرون. وإما تخافن من قوم خيانة فانبذ إليهم على سواء إن الله لا يحب الخائنين. ولا يحسبن الذين كفروا سبقوا إنهم لا يعجزون. وأعدوا لهم ما استطعتم من قوة ومن رباط الخيل ترهبون به عدو الله وعدوكم وآخرين من دونهم لا تعلمونهم الله يعلمهم وما تنفقوا من شيء في سبيل الله يوف إليكم وأنتم لا تظلمون. وإن جنحوا للسلم فاجنح لها وتوكل على الله إنه هو السميع العليم.,هل الإسلام دين سلام؟,الذين عاهدت منهم ثم ينقضون عهدهم في كل
39,قل ما كنت بدعا من الرسل وما أدري ما يفعل بي ولا بكم إن أتبع إلا ما يوحى إلي وما أنا إلا نذير مبين. قل أرأيتم إن كان من عند الله وكفرتم به وشهد شاهد من بني إسرائيل على مثله فآمن واستكبرتم إن الله لا يهدي القوم الظالمين. وقال الذين كفروا للذين آمنوا لو كان خيرا ما سبقونا إليه وإذ لم يهتدوا به فسيقولون هذا إفك قديم. ومن قبله كتاب موسى إماما ورحمة وهذا كتاب مصدق لسانا عربيا لينذر الذين ظلموا وبشرى للمحسنين. إن الذين قالوا ربنا الله ثم استقاموا فلا خوف عليهم ولا هم يحزنون. أولئك أصحاب الجنة خالدين فيها جزاء بما كانوا يعملون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,بني إسرائيل
40,إن الذين ارتدوا على أدبارهم من بعد ما تبين لهم الهدى الشيطان سول لهم وأملى لهم. ذلك بأنهم قالوا للذين كرهوا ما نزل الله سنطيعكم في بعض الأمر والله يعلم إسرارهم. فكيف إذا توفتهم الملائكة يضربون وجوههم وأدبارهم. ذلك بأنهم اتبعوا ما أسخط الله وكرهوا رضوانه فأحبط أعمالهم. أم حسب الذين في قلوبهم مرض أن لن يخرج الله أضغانهم.,ما هي الآيات التي تلمح إلى عذاب القبر وأهواله؟,توفتهم الملائكة يضربون وجوههم وأدبارهم
41,وقال الذي آمن يا قوم اتبعون أهدكم سبيل الرشاد. يا قوم إنما هذه الحياة الدنيا متاع وإن الآخرة هي دار القرار. من عمل سيئة فلا يجزى إلا مثلها ومن عمل صالحا من ذكر أو أنثى وهو مؤمن فأولئك يدخلون الجنة يرزقون فيها بغير حساب. ويا قوم ما لي أدعوكم إلى النجاة وتدعونني إلى النار. تدعونني لأكفر بالله وأشرك به ما ليس لي به علم وأنا أدعوكم إلى العزيز الغفار. لا جرم أنما تدعونني إليه ليس له دعوة في الدنيا ولا في الآخرة وأن مردنا إلى الله وأن المسرفين هم أصحاب النار. فستذكرون ما أقول لكم وأفوض أمري إلى الله إن الله بصير بالعباد. فوقاه الله سيئات ما مكروا وحاق بآل فرعون سوء العذاب. النار يعرضون عليها غدوا وعشيا ويوم تقوم الساعة أدخلوا آل فرعون أشد العذاب.,ما هي الآيات التي تلمح إلى عذاب القبر وأهواله؟,من عمل صالحا من ذكر أو أنثى وهو مؤمن فأولئ
42,فلما جاء السحرة قالوا لفرعون أئن لنا لأجرا إن كنا نحن الغالبين. قال نعم وإنكم إذا لمن المقربين. قال لهم موسى ألقوا ما أنتم ملقون. فألقوا حبالهم وعصيهم وقالوا بعزة فرعون إنا لنحن الغالبون. فألقى موسى عصاه فإذا هي تلقف ما يأفكون. فألقي السحرة ساجدين. قالوا آمنا برب العالمين. رب موسى وهارون. قال آمنتم له قبل أن آذن لكم إنه لكبيركم الذي علمكم السحر فلسوف تعلمون لأقطعن أيديكم وأرجلكم من خلاف ولأصلبنكم أجمعين. قالوا لا ضير إنا إلى ربنا منقلبون. إنا نطمع أن يغفر لنا ربنا خطايانا أن كنا أول المؤمنين.,ما هي معجزات النبي موسى عليه السلام؟,يوسف
43,قل يا عبادي الذين أسرفوا على أنفسهم لا تقنطوا من رحمة الله إن الله يغفر الذنوب جميعا إنه هو الغفور الرحيم. وأنيبوا إلى ربكم وأسلموا له من قبل أن يأتيكم العذاب ثم لا تنصرون. واتبعوا أحسن ما أنزل إليكم من ربكم من قبل أن يأتيكم العذاب بغتة وأنتم لا تشعرون. أن تقول نفس يا حسرتا على ما فرطت في جنب الله وإن كنت لمن الساخرين. أو تقول لو أن الله هداني لكنت من المتقين. أو تقول حين ترى العذاب لو أن لي كرة فأكون من المحسنين. بلى قد جاءتك آياتي فكذبت بها واستكبرت وكنت من الكافرين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,اتبعوا أحسن ما أنزل إليكم من ربكم من قبل أن يأت
44,يا أيها الذين آمنوا لا تتبعوا خطوات الشيطان ومن يتبع خطوات الشيطان فإنه يأمر بالفحشاء والمنكر ولولا فضل الله عليكم ورحمته ما زكى منكم من أحد أبدا ولكن الله يزكي من يشاء والله سميع عليم. ولا يأتل أولو الفضل منكم والسعة أن يؤتوا أولي القربى والمساكين والمهاجرين في سبيل الله وليعفوا وليصفحوا ألا تحبون أن يغفر الله لكم والله غفور رحيم.,على من تجوز الصدقة؟,يؤتوا أولي القربى والمساكين والمهاجرين في سبيل الله ولي
45,يسألونك ماذا أحل لهم قل أحل لكم الطيبات وما علمتم من الجوارح مكلبين تعلمونهن مما علمكم الله فكلوا مما أمسكن عليكم واذكروا اسم الله عليه واتقوا الله إن الله سريع الحساب. اليوم أحل لكم الطيبات وطعام الذين أوتوا الكتاب حل لكم وطعامكم حل لهم والمحصنات من المؤمنات والمحصنات من الذين أوتوا الكتاب من قبلكم إذا آتيتموهن أجورهن محصنين غير مسافحين ولا متخذي أخدان ومن يكفر بالإيمان فقد حبط عمله وهو في الآخرة من الخاسرين.,هل يجب ذكر اسم الله على المأكل والمشرب؟,وطعام الذين أوتوا الكتاب حل لكم وطعامكم حل لهم
46,إن إبراهيم كان أمة قانتا لله حنيفا ولم يك من المشركين. شاكرا لأنعمه اجتباه وهداه إلى صراط مستقيم. وآتيناه في الدنيا حسنة وإنه في الآخرة لمن الصالحين. ثم أوحينا إليك أن اتبع ملة إبراهيم حنيفا وما كان من المشركين. إنما جعل السبت على الذين اختلفوا فيه وإن ربك ليحكم بينهم يوم القيامة فيما كانوا فيه يختلفون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,إسحاق
47,ولله ما في السماوات وما في الأرض ليجزي الذين أساءوا بما عملوا ويجزي الذين أحسنوا بالحسنى. الذين يجتنبون كبائر الإثم والفواحش إلا اللمم إن ربك واسع المغفرة هو أعلم بكم إذ أنشأكم من الأرض وإذ أنتم أجنة في بطون أمهاتكم فلا تزكوا أنفسكم هو أعلم بمن اتقى. أفرأيت الذي تولى. وأعطى قليلا وأكدى. أعنده علم الغيب فهو يرى. أم لم ينبأ بما في صحف موسى. وإبراهيم الذي وفى. ألا تزر وازرة وزر أخرى. وأن ليس للإنسان إلا ما سعى. وأن سعيه سوف يرى. ثم يجزاه الجزاء الأوفى.,ما هو الكتاب الذي انزل على موسى؟,ليجزي الذين أساءوا بما عملوا
48,واتل ما أوحي إليك من كتاب ربك لا مبدل لكلماته ولن تجد من دونه ملتحدا. واصبر نفسك مع الذين يدعون ربهم بالغداة والعشي يريدون وجهه ولا تعد عيناك عنهم تريد زينة الحياة الدنيا ولا تطع من أغفلنا قلبه عن ذكرنا واتبع هواه وكان أمره فرطا.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,واصبر نفسك مع الذين يدعون ربهم بالغداة والعشي
49,فإذا نفخ في الصور نفخة واحدة. وحملت الأرض والجبال فدكتا دكة واحدة. فيومئذ وقعت الواقعة. وانشقت السماء فهي يومئذ واهية. والملك على أرجائها ويحمل عرش ربك فوقهم يومئذ ثمانية. يومئذ تعرضون لا تخفى منكم خافية.,من هم الملائكة المذكورون في القرآن؟,انكتا دكة واحدة
50,يا أيها النبي لم تحرم ما أحل الله لك تبتغي مرضات أزواجك والله غفور رحيم. قد فرض الله لكم تحلة أيمانكم والله مولاكم وهو العليم الحكيم. وإذ أسر النبي إلى بعض أزواجه حديثا فلما نبأت به وأظهره الله عليه عرف بعضه وأعرض عن بعض فلما نبأها به قالت من أنبأك هذا قال نبأني العليم الخبير. إن تتوبا إلى الله فقد صغت قلوبكما وإن تظاهرا عليه فإن الله هو مولاه وجبريل وصالح المؤمنين والملائكة بعد ذلك ظهير. عسى ربه إن طلقكن أن يبدله أزواجا خيرا منكن مسلمات مؤمنات قانتات تائبات عابدات سائحات ثيبات وأبكارا.,من هم الملائكة المذكورون في القرآن؟,النبي
51,وما كان هذا القرآن أن يفترى من دون الله ولكن تصديق الذي بين يديه وتفصيل الكتاب لا ريب فيه من رب العالمين. أم يقولون افتراه قل فأتوا بسورة مثله وادعوا من استطعتم من دون الله إن كنتم صادقين. بل كذبوا بما لم يحيطوا بعلمه ولما يأتهم تأويله كذلك كذب الذين من قبلهم فانظر كيف كان عاقبة الظالمين. ومنهم من يؤمن به ومنهم من لا يؤمن به وربك أعلم بالمفسدين. وإن كذبوك فقل لي عملي ولكم عملكم أنتم بريئون مما أعمل وأنا بريء مما تعملون. ومنهم من يستمعون إليك أفأنت تسمع الصم ولو كانوا لا يعقلون. ومنهم من ينظر إليك أفأنت تهدي العمي ولو كانوا لا يبصرون. إن الله لا يظلم الناس شيئا ولكن الناس أنفسهم يظلمون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,كذبوا بما لم يحيطوا بعلمه ولما يأتهم تأويله
52,يا أيها الذين آمنوا إذا تداينتم بدين إلى أجل مسمى فاكتبوه وليكتب بينكم كاتب بالعدل ولا يأب كاتب أن يكتب كما علمه الله فليكتب وليملل الذي عليه الحق وليتق الله ربه ولا يبخس منه شيئا فإن كان الذي عليه الحق سفيها أو ضعيفا أو لا يستطيع أن يمل هو فليملل وليه بالعدل واستشهدوا شهيدين من رجالكم فإن لم يكونا رجلين فرجل وامرأتان ممن ترضون من الشهداء أن تضل إحداهما فتذكر إحداهما الأخرى ولا يأب الشهداء إذا ما دعوا ولا تسأموا أن تكتبوه صغيرا أو كبيرا إلى أجله ذلكم أقسط عند الله وأقوم للشهادة وأدنى ألا ترتابوا إلا أن تكون تجارة حاضرة تديرونها بينكم فليس عليكم جناح ألا تكتبوها وأشهدوا إذا تبايعتم ولا يضار كاتب ولا شهيد وإن تفعلوا فإنه فسوق بكم واتقوا الله ويعلمكم الله والله بكل شيء عليم. وإن كنتم على سفر ولم تجدوا كاتبا فرهان مقبوضة فإن أمن بعضكم بعضا فليؤد الذي اؤتمن أمانته وليتق الله ربه ولا تكتموا الشهادة ومن يكتمها فإنه آثم قلبه والله بما تعملون عليم.,هل تجوز شهادة أربعة نساء بدلا من رجلين في الأمور المالية أو ما هو متعلق بالأمور المالية؟,كتبوه وليملل الذي عليه الحق
53,وإن يمسسك الله بضر فلا كاشف له إلا هو وإن يردك بخير فلا راد لفضله يصيب به من يشاء من عباده وهو الغفور الرحيم. قل يا أيها الناس قد جاءكم الحق من ربكم فمن اهتدى فإنما يهتدي لنفسه ومن ضل فإنما يضل عليها وما أنا عليكم بوكيل. واتبع ما يوحى إليك واصبر حتى يحكم الله وهو خير الحاكمين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,من اهتدى فإنما يهتدي لنفسه ومن ضل فإنما
54,يا أيها الذين آمنوا ما لكم إذا قيل لكم انفروا في سبيل الله اثاقلتم إلى الأرض أرضيتم بالحياة الدنيا من الآخرة فما متاع الحياة الدنيا في الآخرة إلا قليل. إلا تنفروا يعذبكم عذابا أليما ويستبدل قوما غيركم ولا تضروه شيئا والله على كل شيء قدير. إلا تنصروه فقد نصره الله إذ أخرجه الذين كفروا ثاني اثنين إذ هما في الغار إذ يقول لصاحبه لا تحزن إن الله معنا فأنزل الله سكينته عليه وأيده بجنود لم تروها وجعل كلمة الذين كفروا السفلى وكلمة الله هي العليا والله عزيز حكيم. انفروا خفافا وثقالا وجاهدوا بأموالكم وأنفسكم في سبيل الله ذلكم خير لكم إن كنتم تعلمون.,ما هو الجهاد؟,تنفروا يعذبكم عذابا أليما
55,كذلك أرسلناك في أمة قد خلت من قبلها أمم لتتلو عليهم الذي أوحينا إليك وهم يكفرون بالرحمن قل هو ربي لا إله إلا هو عليه توكلت وإليه متاب. ولو أن قرآنا سيرت به الجبال أو قطعت به الأرض أو كلم به الموتى بل لله الأمر جميعا أفلم ييأس الذين آمنوا أن لو يشاء الله لهدى الناس جميعا ولا يزال الذين كفروا تصيبهم بما صنعوا قارعة أو تحل قريبا من دارهم حتى يأتي وعد الله إن الله لا يخلف الميعاد. ولقد استهزئ برسل من قبلك فأمليت للذين كفروا ثم أخذتهم فكيف كان عقاب. أفمن هو قائم على كل نفس بما كسبت وجعلوا لله شركاء قل سموهم أم تنبئونه بما لا يعلم في الأرض أم بظاهر من القول بل زين للذين كفروا مكرهم وصدوا عن السبيل ومن يضلل الله فما له من هاد. لهم عذاب في الحياة الدنيا ولعذاب الآخرة أشق وما لهم من الله من واق.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,قرآنا سيرت به الجبال أو قطعت به الأرض أو كلم به
56,وقالوا أإذا ضللنا في الأرض أإنا لفي خلق جديد بل هم بلقاء ربهم كافرون. قل يتوفاكم ملك الموت الذي وكل بكم ثم إلى ربكم ترجعون. ولو ترى إذ المجرمون ناكسو رءوسهم عند ربهم ربنا أبصرنا وسمعنا فارجعنا نعمل صالحا إنا موقنون. ولو شئنا لآتينا كل نفس هداها ولكن حق القول مني لأملأن جهنم من الجنة والناس أجمعين. فذوقوا بما نسيتم لقاء يومكم هذا إنا نسيناكم وذوقوا عذاب الخلد بما كنتم تعملون.,من هم الملائكة المذكورون في القرآن؟,ثم إلى ربكم ترجعون
57,ويوم نبعث من كل أمة شهيدا ثم لا يؤذن للذين كفروا ولا هم يستعتبون. وإذا رأى الذين ظلموا العذاب فلا يخفف عنهم ولا هم ينظرون. وإذا رأى الذين أشركوا شركاءهم قالوا ربنا هؤلاء شركاؤنا الذين كنا ندعو من دونك فألقوا إليهم القول إنكم لكاذبون. وألقوا إلى الله يومئذ السلم وضل عنهم ما كانوا يفترون. الذين كفروا وصدوا عن سبيل الله زدناهم عذابا فوق العذاب بما كانوا يفسدون. ويوم نبعث في كل أمة شهيدا عليهم من أنفسهم وجئنا بك شهيدا على هؤلاء ونزلنا عليك الكتاب تبيانا لكل شيء وهدى ورحمة وبشرى للمسلمين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,يؤذن للذين كفروا ولا هم يستعتبون
58,والذين آتيناهم الكتاب يفرحون بما أنزل إليك ومن الأحزاب من ينكر بعضه قل إنما أمرت أن أعبد الله ولا أشرك به إليه أدعو وإليه مآب. وكذلك أنزلناه حكما عربيا ولئن اتبعت أهواءهم بعدما جاءك من العلم ما لك من الله من ولي ولا واق.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,الذين آتيناهم الكتاب يفرحون بما أنزل إليك ومن الأح
59,الر تلك آيات الكتاب المبين. إنا أنزلناه قرآنا عربيا لعلكم تعقلون. نحن نقص عليك أحسن القصص بما أوحينا إليك هذا القرآن وإن كنت من قبله لمن الغافلين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,إنا أنزلناه قرآنا عربيا
60,تالله لقد أرسلنا إلى أمم من قبلك فزين لهم الشيطان أعمالهم فهو وليهم اليوم ولهم عذاب أليم. وما أنزلنا عليك الكتاب إلا لتبين لهم الذي اختلفوا فيه وهدى ورحمة لقوم يؤمنون.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,لقد أرسلنا إلى أمم من قبلك فزين لهم الشيطان
61,يحلفون بالله لكم ليرضوكم والله ورسوله أحق أن يرضوه إن كانوا مؤمنين. ألم يعلموا أنه من يحادد الله ورسوله فأن له نار جهنم خالدا فيها ذلك الخزي العظيم. يحذر المنافقون أن تنزل عليهم سورة تنبئهم بما في قلوبهم قل استهزئوا إن الله مخرج ما تحذرون. ولئن سألتهم ليقولن إنما كنا نخوض ونلعب قل أبالله وآياته ورسوله كنتم تستهزئون. لا تعتذروا قد كفرتم بعد إيمانكم إن نعف عن طائفة منكم نعذب طائفة بأنهم كانوا مجرمين.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,من يحادد الله ورسوله فأن له نار جهنم خالدا فيها
62,لو أنزلنا هذا القرآن على جبل لرأيته خاشعا متصدعا من خشية الله وتلك الأمثال نضربها للناس لعلهم يتفكرون. هو الله الذي لا إله إلا هو عالم الغيب والشهادة هو الرحمن الرحيم. هو الله الذي لا إله إلا هو الملك القدوس السلام المؤمن المهيمن العزيز الجبار المتكبر سبحان الله عما يشركون. هو الله الخالق البارئ المصور له الأسماء الحسنى يسبح له ما في السماوات والأرض وهو العزيز الحكيم.,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,الذي لا إله إلا هو الملك القدوس السلام المؤمن المهيمن العزيز
